date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-06 20:44:26,CCHQPress,jeremycorbyn,22,41,82,"Corbyn promised over and over again to you that Labour would honour the referendum result Turns out that was a lie #BBCDebate",,,#BBCDebate,1203052602344267776,https://twitter.com/CCHQPress/status/1203052602344267776
2019-12-06 20:42:32,CCHQPress,,63,76,210,"All Corbyn offers is months of dither and delay, followed by another two referendums. With @Conservatives we can #GetBrexitDone by January #BackBoris #BBCDebate",,@Conservatives,#GetBrexitDone #BackBoris #BBCDebate,1203052123442831361,https://twitter.com/CCHQPress/status/1203052123442831361
2019-12-06 20:41:16,CCHQPress,,37,72,174,"Trying to work out @jeremycorbyn's position on Brexit #BBCDebate",,@jeremycorbyn,#BBCDebate,1203051805279694848,https://twitter.com/CCHQPress/status/1203051805279694848
2019-12-06 20:39:35,CCHQPress,,26,35,89,"Corbyn refuses to guarantee that we will get Brexit done next year so the country can move on #BBCDebate",,,#BBCDebate,1203051379876679681,https://twitter.com/CCHQPress/status/1203051379876679681
2019-12-06 20:36:15,CCHQPress,,14,28,73,"A Conservative majority government will: Get Brexit done Invest record amounts in the NHS Recruit 20,000 more police and introduce tougher sentences Invest in education, technology, and infrastructure to drive opportunity and prosperity #BBCDebate #BackBoris",,,#BBCDebate #BackBoris,1203050542068572161,https://twitter.com/CCHQPress/status/1203050542068572161
2019-12-06 20:35:48,CCHQPress,,10,7,26,"The only way to unleash the potential of our whole country is to secure a working majority government who will #GetBrexitDone so we can move on - the alternative is a hung parliament with more deadlock, dither and delay #BBCDebate #BackBoris",,,#GetBrexitDone #BBCDebate #BackBoris,1203050430453997569,https://twitter.com/CCHQPress/status/1203050430453997569
2019-12-06 20:34:43,CCHQPress,,46,36,99,".@BorisJohnson makes clear at #BBCDebate that once we #GetBrexitDone we will be able to focus on the people’s priorities: helping the NHS, tackling serious and violent crime, and levelling up funding in schools #BackBoris",,@BorisJohnson,#BBCDebate #GetBrexitDone #BackBoris,1203050156192620545,https://twitter.com/CCHQPress/status/1203050156192620545
2019-12-06 20:25:03,CCHQPress,,65,44,273,"#BBCDebate",,,#BBCDebate,1203047721889914887,https://twitter.com/CCHQPress/status/1203047721889914887
2019-12-06 12:12:19,CCHQPress,,144,121,293,"For past 3.5yrs Britain has been stuck in neutral, unable to move forwards with endless arguments, deadlock & delay Only a vote for @Conservatives will secure working majority govt that will stop chaos in Parliament, end uncertainty, #getBrexitdone &amp; unleash Britain’s potential",,@Conservatives,#getBrexitdone,1202923722853822464,https://twitter.com/CCHQPress/status/1202923722853822464
2019-12-06 11:51:20,CCHQPress,Channel4News,51,173,421,".@joswinson will you get @ChukaUmunna to retract his false comments?",,@joswinson @ChukaUmunna,,1202918440765444098,https://twitter.com/CCHQPress/status/1202918440765444098
